sa4_code_2016, age_grp, sa4_name_2016, pop
"102","25 to 34","Central Coast",33900
"115","25 to 34","Sydney - Baulkham Hills and Hawkesbury",32200
"116","25 to 34","Sydney - Blacktown",65700
"117","25 to 34","Sydney - City and Inner South",112600
"118","25 to 34","Sydney - Eastern Suburbs",63700
"119","25 to 34","Sydney - Inner South West",98400
"120","25 to 34","Sydney - Inner West",59600
"121","25 to 34","Sydney - North Sydney and Hornsby",47600
"122","25 to 34","Sydney - Northern Beaches",30400
"123","25 to 34","Sydney - Outer South West",42400
"124","25 to 34","Sydney - Outer West and Blue Mountains",53000
"125","25 to 34","Sydney - Parramatta",95500
"126","25 to 34","Sydney - Ryde",37100
"127","25 to 34","Sydney - South West",72700
"128","25 to 34","Sydney - Sutherland",34000
"101","25 to 34","Capital Region",34200
"103","25 to 34","Central West",22700
"104","25 to 34","Coffs Harbour - Grafton",10200
"105","25 to 34","Far West and Orana",14500
"106","25 to 34","Hunter Valley exc Newcastle",33700
"107","25 to 34","Illawarra",37900
"108","25 to 34","Mid North Coast",19000
"109","25 to 34","Murray",15300
"110","25 to 34","New England and North West",14400
"111","25 to 34","Newcastle and Lake Macquarie",53200
"112","25 to 34","Richmond - Tweed",25100
"113","25 to 34","Riverina",18900
"114","25 to 34","Southern Highlands and Shoalhaven",14400
"206","25 to 34","Melbourne - Inner",193900
"207","25 to 34","Melbourne - Inner East",55300
"208","25 to 34","Melbourne - Inner South",48800
"209","25 to 34","Melbourne - North East",82200
"210","25 to 34","Melbourne - North West",72600
"211","25 to 34","Melbourne - Outer East",69100
"212","25 to 34","Melbourne - South East",147800
"213","25 to 34","Melbourne - West",156600
"214","25 to 34","Mornington Peninsula",36600
"201","25 to 34","Ballarat",20100
"202","25 to 34","Bendigo",16000
"203","25 to 34","Geelong",36800
"204","25 to 34","Hume",22500
"205","25 to 34","Latrobe - Gippsland",36600
"215","25 to 34","North West",15900
"216","25 to 34","Shepparton",12600
"217","25 to 34","Warrnambool and South West",13100
"301","25 to 34","Brisbane - East",25600
"302","25 to 34","Brisbane - North",32400
"303","25 to 34","Brisbane - South",59700
"304","25 to 34","Brisbane - West",24600
"305","25 to 34","Brisbane Inner City",78100
"310","25 to 34","Ipswich",61100
"311","25 to 34","Logan - Beaudesert",57400
"313","25 to 34","Moreton Bay - North",26000
"314","25 to 34","Moreton Bay - South",31900
"306","25 to 34","Cairns",35600
"307","25 to 34","Darling Downs - Maranoa",13400
"308","25 to 34","Central Queensland",32300
"309","25 to 34","Gold Coast",83100
"312","25 to 34","Mackay - Isaac - Whitsunday",21600
"315","25 to 34","Queensland - Outback",14200
"316","25 to 34","Sunshine Coast",41300
"317","25 to 34","Toowoomba",17600
"318","25 to 34","Townsville",35100
"319","25 to 34","Wide Bay",27700
"401","25 to 34","Adelaide - Central and Hills",40200
"402","25 to 34","Adelaide - North",69600
"403","25 to 34","Adelaide - South",43800
"404","25 to 34","Adelaide - West",37700
"405","25 to 34","Barossa - Yorke - Mid North",9200
"406","25 to 34","South Australia - Outback",10600
"407","25 to 34","South Australia - South East",20700
"502","25 to 34","Mandurah",11200
"503","25 to 34","Perth - Inner",27500
"504","25 to 34","Perth - North East",35300
"505","25 to 34","Perth - North West",80300
"506","25 to 34","Perth - South East",89300
"507","25 to 34","Perth - South West",70600
"501","25 to 34","Bunbury",19700
"509","25 to 34","Western Australia - Wheat Belt",12900
"601","25 to 34","Hobart",33000
"602","25 to 34","Launceston and North East",19000
"603","25 to 34","South East",2900
"604","25 to 34","West and North West",11700
"701","25 to 34","Darwin",24400
"702","25 to 34","Northern Territory - Outback",18400
