sa4_code_2016, age_grp, sa4_name_2016, pop
"102","35 to 44","Central Coast",33400
"115","35 to 44","Sydney - Baulkham Hills and Hawkesbury",42000
"116","35 to 44","Sydney - Blacktown",69300
"117","35 to 44","Sydney - City and Inner South",61100
"118","35 to 44","Sydney - Eastern Suburbs",52900
"119","35 to 44","Sydney - Inner South West",77200
"120","35 to 44","Sydney - Inner West",43600
"121","35 to 44","Sydney - North Sydney and Hornsby",62300
"122","35 to 44","Sydney - Northern Beaches",35700
"123","35 to 44","Sydney - Outer South West",40700
"124","35 to 44","Sydney - Outer West and Blue Mountains",48100
"125","35 to 44","Sydney - Parramatta",93900
"126","35 to 44","Sydney - Ryde",29700
"127","35 to 44","Sydney - South West",73200
"128","35 to 44","Sydney - Sutherland",34400
"101","35 to 44","Capital Region",23000
"103","35 to 44","Central West",23600
"104","35 to 44","Coffs Harbour - Grafton",16800
"105","35 to 44","Far West and Orana",13900
"106","35 to 44","Hunter Valley exc Newcastle",37200
"107","35 to 44","Illawarra",28900
"108","35 to 44","Mid North Coast",20800
"109","35 to 44","Murray",15800
"110","35 to 44","New England and North West",18800
"111","35 to 44","Newcastle and Lake Macquarie",49200
"112","35 to 44","Richmond - Tweed",31200
"113","35 to 44","Riverina",18800
"114","35 to 44","Southern Highlands and Shoalhaven",16900
"206","35 to 44","Melbourne - Inner",113200
"207","35 to 44","Melbourne - Inner East",54700
"208","35 to 44","Melbourne - Inner South",62100
"209","35 to 44","Melbourne - North East",87900
"210","35 to 44","Melbourne - North West",50100
"211","35 to 44","Melbourne - Outer East",71600
"212","35 to 44","Melbourne - South East",127900
"213","35 to 44","Melbourne - West",157300
"214","35 to 44","Mornington Peninsula",35200
"201","35 to 44","Ballarat",18600
"202","35 to 44","Bendigo",20800
"203","35 to 44","Geelong",44800
"204","35 to 44","Hume",19600
"205","35 to 44","Latrobe - Gippsland",30300
"215","35 to 44","North West",13900
"216","35 to 44","Shepparton",13300
"217","35 to 44","Warrnambool and South West",11700
"301","35 to 44","Brisbane - East",29600
"302","35 to 44","Brisbane - North",35600
"303","35 to 44","Brisbane - South",61400
"304","35 to 44","Brisbane - West",20000
"305","35 to 44","Brisbane Inner City",49300
"310","35 to 44","Ipswich",57700
"311","35 to 44","Logan - Beaudesert",44200
"313","35 to 44","Moreton Bay - North",29600
"314","35 to 44","Moreton Bay - South",34500
"306","35 to 44","Cairns",34800
"307","35 to 44","Darling Downs - Maranoa",11600
"308","35 to 44","Central Queensland",28800
"309","35 to 44","Gold Coast",93500
"312","35 to 44","Mackay - Isaac - Whitsunday",24300
"315","35 to 44","Queensland - Outback",10500
"316","35 to 44","Sunshine Coast",44600
"317","35 to 44","Toowoomba",20300
"318","35 to 44","Townsville",27400
"319","35 to 44","Wide Bay",30100
"401","35 to 44","Adelaide - Central and Hills",42100
"402","35 to 44","Adelaide - North",60800
"403","35 to 44","Adelaide - South",49200
"404","35 to 44","Adelaide - West",29000
"405","35 to 44","Barossa - Yorke - Mid North",13900
"406","35 to 44","South Australia - Outback",10100
"407","35 to 44","South Australia - South East",17800
"502","35 to 44","Mandurah",7700
"503","35 to 44","Perth - Inner",31300
"504","35 to 44","Perth - North East",44100
"505","35 to 44","Perth - North West",79300
"506","35 to 44","Perth - South East",81000
"507","35 to 44","Perth - South West",63100
"501","35 to 44","Bunbury",22800
"509","35 to 44","Western Australia - Wheat Belt",15900
"601","35 to 44","Hobart",29600
"602","35 to 44","Launceston and North East",16400
"603","35 to 44","South East",4500
"604","35 to 44","West and North West",12300
"701","35 to 44","Darwin",22500
"702","35 to 44","Northern Territory - Outback",14800
