sa4_code_2016, age_grp, sa4_name_2016, pop
"102","15 to 24","Central Coast",39300
"115","15 to 24","Sydney - Baulkham Hills and Hawkesbury",30200
"116","15 to 24","Sydney - Blacktown",50200
"117","15 to 24","Sydney - City and Inner South",42500
"118","15 to 24","Sydney - Eastern Suburbs",26400
"119","15 to 24","Sydney - Inner South West",88800
"120","15 to 24","Sydney - Inner West",36600
"121","15 to 24","Sydney - North Sydney and Hornsby",59400
"122","15 to 24","Sydney - Northern Beaches",28900
"123","15 to 24","Sydney - Outer South West",40000
"124","15 to 24","Sydney - Outer West and Blue Mountains",35900
"125","15 to 24","Sydney - Parramatta",62300
"126","15 to 24","Sydney - Ryde",27900
"127","15 to 24","Sydney - South West",54900
"128","15 to 24","Sydney - Sutherland",29200
"101","15 to 24","Capital Region",26000
"103","15 to 24","Central West",28600
"104","15 to 24","Coffs Harbour - Grafton",15100
"105","15 to 24","Far West and Orana",13700
"106","15 to 24","Hunter Valley exc Newcastle",30900
"107","15 to 24","Illawarra",46600
"108","15 to 24","Mid North Coast",16700
"109","15 to 24","Murray",11600
"110","15 to 24","New England and North West",18700
"111","15 to 24","Newcastle and Lake Macquarie",47800
"112","15 to 24","Richmond - Tweed",31800
"113","15 to 24","Riverina",16600
"114","15 to 24","Southern Highlands and Shoalhaven",16900
"206","15 to 24","Melbourne - Inner",89000
"207","15 to 24","Melbourne - Inner East",53400
"208","15 to 24","Melbourne - Inner South",53900
"209","15 to 24","Melbourne - North East",62600
"210","15 to 24","Melbourne - North West",52000
"211","15 to 24","Melbourne - Outer East",62600
"212","15 to 24","Melbourne - South East",115200
"213","15 to 24","Melbourne - West",103200
"214","15 to 24","Mornington Peninsula",33000
"201","15 to 24","Ballarat",22800
"202","15 to 24","Bendigo",19700
"203","15 to 24","Geelong",34600
"204","15 to 24","Hume",19000
"205","15 to 24","Latrobe - Gippsland",27100
"215","15 to 24","North West",15500
"216","15 to 24","Shepparton",16800
"217","15 to 24","Warrnambool and South West",15800
"301","15 to 24","Brisbane - East",25700
"302","15 to 24","Brisbane - North",28900
"303","15 to 24","Brisbane - South",59200
"304","15 to 24","Brisbane - West",29600
"305","15 to 24","Brisbane Inner City",40100
"310","15 to 24","Ipswich",51500
"311","15 to 24","Logan - Beaudesert",46000
"313","15 to 24","Moreton Bay - North",26300
"314","15 to 24","Moreton Bay - South",26900
"306","15 to 24","Cairns",29600
"307","15 to 24","Darling Downs - Maranoa",17400
"308","15 to 24","Central Queensland",23800
"309","15 to 24","Gold Coast",94500
"312","15 to 24","Mackay - Isaac - Whitsunday",20200
"315","15 to 24","Queensland - Outback",7800
"316","15 to 24","Sunshine Coast",41600
"317","15 to 24","Toowoomba",19700
"318","15 to 24","Townsville",32000
"319","15 to 24","Wide Bay",26000
"401","15 to 24","Adelaide - Central and Hills",36600
"402","15 to 24","Adelaide - North",51700
"403","15 to 24","Adelaide - South",47100
"404","15 to 24","Adelaide - West",31900
"405","15 to 24","Barossa - Yorke - Mid North",12400
"406","15 to 24","South Australia - Outback",10800
"407","15 to 24","South Australia - South East",19900
"502","15 to 24","Mandurah",9900
"503","15 to 24","Perth - Inner",23300
"504","15 to 24","Perth - North East",29400
"505","15 to 24","Perth - North West",72200
"506","15 to 24","Perth - South East",70900
"507","15 to 24","Perth - South West",54300
"501","15 to 24","Bunbury",26300
"509","15 to 24","Western Australia - Wheat Belt",12600
"601","15 to 24","Hobart",28600
"602","15 to 24","Launceston and North East",16900
"603","15 to 24","South East",3700
"604","15 to 24","West and North West",12700
"701","15 to 24","Darwin",16600
"702","15 to 24","Northern Territory - Outback",13400
