sa4_code_2016, age_grp, sa4_name_2016, pop
"102","45 to 54","Central Coast",42700
"115","45 to 54","Sydney - Baulkham Hills and Hawkesbury",35700
"116","45 to 54","Sydney - Blacktown",42100
"117","45 to 54","Sydney - City and Inner South",43300
"118","45 to 54","Sydney - Eastern Suburbs",33800
"119","45 to 54","Sydney - Inner South West",76200
"120","45 to 54","Sydney - Inner West",44800
"121","45 to 54","Sydney - North Sydney and Hornsby",64200
"122","45 to 54","Sydney - Northern Beaches",44900
"123","45 to 54","Sydney - Outer South West",37700
"124","45 to 54","Sydney - Outer West and Blue Mountains",41300
"125","45 to 54","Sydney - Parramatta",50000
"126","45 to 54","Sydney - Ryde",27500
"127","45 to 54","Sydney - South West",56600
"128","45 to 54","Sydney - Sutherland",27200
"101","45 to 54","Capital Region",28200
"103","45 to 54","Central West",23500
"104","45 to 54","Coffs Harbour - Grafton",17800
"105","45 to 54","Far West and Orana",11600
"106","45 to 54","Hunter Valley exc Newcastle",36500
"107","45 to 54","Illawarra",46000
"108","45 to 54","Mid North Coast",25100
"109","45 to 54","Murray",12900
"110","45 to 54","New England and North West",24000
"111","45 to 54","Newcastle and Lake Macquarie",48100
"112","45 to 54","Richmond - Tweed",33300
"113","45 to 54","Riverina",18200
"114","45 to 54","Southern Highlands and Shoalhaven",20200
"206","45 to 54","Melbourne - Inner",80900
"207","45 to 54","Melbourne - Inner East",53900
"208","45 to 54","Melbourne - Inner South",65900
"209","45 to 54","Melbourne - North East",71600
"210","45 to 54","Melbourne - North West",50900
"211","45 to 54","Melbourne - Outer East",68500
"212","45 to 54","Melbourne - South East",110300
"213","45 to 54","Melbourne - West",99800
"214","45 to 54","Mornington Peninsula",39200
"201","45 to 54","Ballarat",20900
"202","45 to 54","Bendigo",24100
"203","45 to 54","Geelong",43200
"204","45 to 54","Hume",24000
"205","45 to 54","Latrobe - Gippsland",25800
"215","45 to 54","North West",19000
"216","45 to 54","Shepparton",18400
"217","45 to 54","Warrnambool and South West",15200
"301","45 to 54","Brisbane - East",31600
"302","45 to 54","Brisbane - North",35100
"303","45 to 54","Brisbane - South",44900
"304","45 to 54","Brisbane - West",29800
"305","45 to 54","Brisbane Inner City",38000
"310","45 to 54","Ipswich",45500
"311","45 to 54","Logan - Beaudesert",47300
"313","45 to 54","Moreton Bay - North",29400
"314","45 to 54","Moreton Bay - South",30900
"306","45 to 54","Cairns",33000
"307","45 to 54","Darling Downs - Maranoa",19800
"308","45 to 54","Central Queensland",27400
"309","45 to 54","Gold Coast",97800
"312","45 to 54","Mackay - Isaac - Whitsunday",23600
"315","45 to 54","Queensland - Outback",11100
"316","45 to 54","Sunshine Coast",52200
"317","45 to 54","Toowoomba",17000
"318","45 to 54","Townsville",23200
"319","45 to 54","Wide Bay",35700
"401","45 to 54","Adelaide - Central and Hills",40900
"402","45 to 54","Adelaide - North",53700
"403","45 to 54","Adelaide - South",48600
"404","45 to 54","Adelaide - West",30800
"405","45 to 54","Barossa - Yorke - Mid North",15000
"406","45 to 54","South Australia - Outback",10300
"407","45 to 54","South Australia - South East",22900
"502","45 to 54","Mandurah",9900
"503","45 to 54","Perth - Inner",23100
"504","45 to 54","Perth - North East",36500
"505","45 to 54","Perth - North West",76000
"506","45 to 54","Perth - South East",69900
"507","45 to 54","Perth - South West",59000
"501","45 to 54","Bunbury",22200
"509","45 to 54","Western Australia - Wheat Belt",18300
"601","45 to 54","Hobart",29500
"602","45 to 54","Launceston and North East",18700
"603","45 to 54","South East",5500
"604","45 to 54","West and North West",14400
"701","45 to 54","Darwin",19700
"702","45 to 54","Northern Territory - Outback",11700
